ts	phase	decision	why	evidence	result
2026-09-17T14:40:00Z	frame	范围定为两份 v2 规格的完整实现，含 P0–P7，但真实模型 holdout 与人工 gold 确认列为未执行	这两项需要 API key 和人的判断，机器签收会变成伪造的通过依据	.scratch/knowledge-v2/plan.md	范围已定，未执行项如实标注
2026-09-17T14:40:00Z	frame	基线实测记 175 个用例 173 通过 2 失败，不引用提交说明	后面每次检查都要读成旧值对新值，基线的来源必须是自己跑的	reports/test-baseline.md	2 个失败各有根因，一个是缺 mcp 依赖，一个是测试自身泄漏
2026-09-17T14:40:00Z	P1	偏移单位钉成 unicode code point，区间半开，规范化只统一行尾	按字节或 UTF-16 算偏移会让中文与 emoji 恢复出错位文本，折叠组合字符会让引文与原件不一致	docs/adr/0002-evidence-is-addressed-by-code-point.md	E01–E08 全部通过
2026-09-17T14:40:00Z	P1	分块的 evidence_spans、context_spans、render_notes 三样分开记，补造的围栏不进任何可引用范围	重建格式被当成原文引用是伪造引用，属于零容忍项	plugins/llm-wiki/llm_wiki_mcp/chunking.py	E03、E04 通过
2026-09-17T14:40:00Z	P1	v2 核心模块只用标准库，分发副本由脚本生成而不是手工同步	干净安装的机器上没有服务器包，手工同步三份必然漂移	docs/adr/0003-vendored-core-is-stdlib-only.md	parity 测试守住字节一致与依赖边界
2026-09-17T14:40:00Z	lever	先建 56 项用例的映射测试，用例 ID 由测试自己声明，报告由测试自己写	「全部用例通过」只有在每条都能失败时才有意义，编辑测试文件改不动期望集合	tests/test_acceptance_case_map.py	56/56 覆盖，无未知 ID
2026-09-17T14:40:00Z	P3	提交是一个事务，ID 与时间戳由 Store 分配，不接受模型返回值	模型回显的 ID 一旦被采信就变成伪造的权威版本	plugins/llm-wiki/llm_wiki_mcp/claim_store.py	M03、T01–T06 通过
2026-09-17T14:40:00Z	P3	支持可用性每次从 evidence 与 premise 行本身读出并循环到不动点，不信任缓存列	缓存列会让来源撤回后状态不变，R07 一开始就是这样假绿的	claim_store.py::_recompute_support	撤回一个独立支持组后仍 grounded，全撤回后 unsupported
2026-09-17T14:40:00Z	P3	命题未变而证据增加时把上一版 origin 带到新版本；命题改变时不带	两个独立来源要是同一个版本上的两个支持组，而旧 grounding 不得被新措辞复用	claim_store.py::_carried_origins	R03、R07 通过
2026-09-17T14:40:00Z	P5	v2 用例写成 knowledge_service 一份，Local 与 Shared 只在数据库文件与 actor 上不同	两份实现是两种模式悄悄不再一致的方式	plugins/llm-wiki/llm_wiki_mcp/knowledge_service.py	X01 用受控提取器断言两边语义 ChangeSet 相同
