ts	phase	decision	why	evidence	result
2026-09-17T00:10:00Z	frame	范围限定为设计文档 §7 的主题路由加 aliases，即阶段 E；§8 冲突协议不做	§7.6 把「P2 自身新增」明确限定为目录、两阶段、aliases 三项，§11 又把冲突单独列为阶段 F；§8 会带来六个 operation 与两个新元数据字段，混入会让本次无法一次验完	docs/weknora-llm-wiki-integration.md:277-279, :392-393	范围已定，F 挂起
2026-09-17T00:12:00Z	frame	「P0 对 P2 影响的那一部分」判定为共享分块器，而不是 parse_id 持久化	§7.6 逐字把 A/B 阶段的分块与打包列为 P2 条件依赖，并点名 import llm_wiki_mcp.chunking 失败；§10 禁止另造一套本地与在线的算法。parse_id 持久化绑阶段 D	docs/weknora-llm-wiki-integration.md:283, :370	已交付，服务端暂无消费者
2026-09-17T00:14:00Z	frame	定义完成写成六条可证伪断言，全部跑在真实 SharedWikiService 加真实 SharedWikiStore 上	断言要能读成「模型实际看到了什么」，因此桩模型记录 payload 而不是只断言最终页面	fixture measured snapshot=69,769 pages=8	六条全绿
2026-09-17T00:16:00Z	harness	动手前先跑既有测试，基线记 137 个全绿	后面每次检查都要读成旧值对新值	python3 -m unittest discover -s tests	137 通过 0 失败
2026-09-17T00:20:00Z	design	分块器规范副本放 llm_wiki_mcp/chunking.py，两份技能树保留字节相同镜像，parity 测试扩到三处	wiki.py 靠脚本相对 import chunking 加载，所以两份技能树仍要保留副本；不能只留服务端一份	shasum 三份同值；回退任一份变红	三份 6c28177f 一致
2026-09-17T00:30:00Z	design	提交模式立成具名纯函数 submit_mode(page_count, snapshot_chars)，而不是在 submit 里内联 if	原设计只在目录为空时跳过路由；用户要求通用规则。第二个触发条件一来，内联判断就会变成两个必须同步的布尔	principle-model-the-domain；tests/test_wiki_core.py:SubmitModeTests	唯一决策点已定
2026-09-17T00:35:00Z	design	尺寸触发取 normalize_existing_pages 之后的 JSON 长度，而不是页面正文长度之和	阈值要跟直投请求真正花的字符数比，否则「超限」是拿另一个量在比	实测 20 页正文 60,000 字符时 JSON 为 61,331	单位已对齐
2026-09-17T00:36:00Z	design	DIRECT_SUBMIT_MAX_CHARS = 40,000，锚在设计文档自己举的最小例子下方	文档用 20 页 46,891 演示目录把它降到 4,220，所以那个规模应走路由；20 页以内的小项目保持直投，正好覆盖用户说的「刚建项目组往里丢文件」	docs/weknora-llm-wiki-integration.md:265；本仓库最大 50 页设定预算内	已定，可一行改
2026-09-17T00:37:00Z	design	否决用页数做成本触发器，页数只承担能力触发	实测正文 100 字符时目录是快照的 1.53 倍，即更贵；一条目录记录约 300 字符而正文无下限，短页多页会误触发	本目录 spec.md 的实测表第二张	已改，少一根旋钮
2026-09-17T00:38:00Z	design	别名进目录身份、进页面版本、随回滚恢复	阶段 E 验收点名别名；回滚若不恢复别名，页面会带着最新名字回到旧正文	tests/test_shared_store.py:test_a_restore_brings_the_aliases_back_with_the_body	绿
